# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
12258at4751	Duplicated	contig_53820	7095	10988	+	1380.2	990	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	contig_54578	774342	778226	-	1360.4	980	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	contig_56170	60128	63709	+	1357.1	955	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	contig_44142	45740	49398	+	1309.8	971	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	contig_61171	62766	65808	+	1194.4	868	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	contig_34995	1564	5704	-	208.8	354	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Missing
13605at4751	Fragmented	contig_25033	254095	258409	-	473.3	923	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	contig_37839	79521	84293	+	1140.6	813	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Duplicated	contig_49928	13970	19095	-	1573.0	1283	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14441at4751	Duplicated	contig_38783	26390	30462	+	1472.3	1111	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	contig_5056	163642	167114	-	758.2	793	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Fragmented	contig_41688	15363	18230	-	246.7	597	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	contig_33973	89780	91913	+	741.6	575	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	contig_8563	38577	41581	-	762.3	592	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Fragmented	contig_13732	125235	129617	+	135.3	331	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Duplicated	contig_53820	158294	161113	-	1144.0	793	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20600at4751	Duplicated	contig_56177	40070	42928	-	1139.3	778	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20600at4751	Duplicated	contig_53913	110773	113586	-	1136.8	767	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20600at4751	Duplicated	contig_53566	1452943	1455780	-	1101.9	752	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Missing
21651at4751	Complete	contig_3243	93055	96505	-	788.0	646	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	contig_64177	11941	14374	+	533.4	572	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	contig_1674	26823	30046	-	1221.1	831	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	contig_15753	149792	152266	+	178.0	367	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	contig_38216	66000	70198	-	1431.7	1101	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	contig_7032	21634	25181	+	618.3	896	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Fragmented	contig_41828	43306	43650	-	55.3	46	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	contig_656	12080	15625	+	649.8	655	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Missing
26329at4751	Fragmented	contig_44906	54105	57254	-	504.1	704	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Missing
29512at4751	Missing
31256at4751	Missing
31324at4751	Fragmented	contig_13155	11516	14659	-	418.2	586	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	contig_5562	101932	103953	-	479.4	548	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	contig_2658	102212	104677	+	701.6	614	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Fragmented	contig_62549	7632	9649	+	83.4	282	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	contig_15977	129962	133187	+	579.9	709	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Fragmented	contig_42992	6551	9216	+	529.5	565	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	contig_5986	1382	3624	+	303.4	461	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Duplicated	contig_53566	1249347	1251632	+	766.4	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37028at4751	Duplicated	contig_53902	1277813	1280086	-	718.7	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37028at4751	Duplicated	contig_53911	438175	440475	-	717.2	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37028at4751	Duplicated	contig_39014	464073	466345	+	710.2	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37028at4751	Duplicated	contig_58016	9110	11371	-	692.4	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37028at4751	Duplicated	contig_54583	44093	46342	-	685.4	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37028at4751	Duplicated	contig_59911	22111	24381	+	670.4	600	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37028at4751	Duplicated	contig_58221	33937	36128	+	668.0	587	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Duplicated	contig_35073	67150	69589	+	778.8	492	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37573at4751	Duplicated	contig_11195	157616	159870	-	758.5	468	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	contig_53570	1570953	1572170	+	130.0	274	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Fragmented	contig_18707	2462	3410	+	131.9	193	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	contig_62194	5055	7834	+	547.3	549	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	contig_2010	3635	6114	+	373.1	449	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Fragmented	contig_31063	10677	10957	+	90.7	70	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	contig_21349	48046	50041	-	300.6	714	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	contig_31727	40545	43761	-	861.6	733	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Missing
46666at4751	Complete	contig_47558	9326	13419	+	767.4	895	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	contig_43181	24290	27276	-	606.3	699	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	contig_10576	3333	5627	+	375.3	410	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	contig_11085	132999	135593	-	561.1	578	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	contig_12847	1045	4128	+	1102.2	835	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	contig_2411	60650	62666	-	541.9	470	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	contig_28078	65769	68874	-	708.7	573	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	contig_65720	9357	11608	-	484.0	469	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Duplicated	contig_10259	30677	33622	-	840.1	613	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
50835at4751	Duplicated	contig_22812	18879	21764	+	752.3	615	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	contig_9753	75812	78306	-	500.2	433	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	contig_59349	4061	6907	+	686.4	660	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Fragmented	contig_36274	13383	15889	-	655.8	530	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Missing
54919at4751	Complete	contig_66317	15421	18029	-	327.4	359	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	contig_28609	21261	23041	-	242.7	394	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Missing
56729at4751	Missing
57081at4751	Fragmented	contig_65710	3811	6782	+	703.1	511	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	contig_9489	145256	148038	-	143.9	493	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	contig_43815	12988	15368	-	626.7	560	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	contig_63675	13909	15905	+	194.8	288	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	contig_23358	64097	67084	-	466.0	537	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	contig_13285	8574	10289	+	117.5	414	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	contig_56315	36114	38928	-	338.4	409	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	contig_12957	52850	55701	-	759.2	701	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Complete	contig_17733	105822	108257	-	277.9	334	https://www.orthodb.org/v10?query=63838at4751	AP complex subunit beta
64002at4751	Complete	contig_30012	65756	68694	-	518.0	453	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	contig_16662	96847	98976	+	809.4	540	https://www.orthodb.org/v10?query=64498at4751	glucosamine-fructose-6-phosphate aminotransferase
65334at4751	Complete	contig_23470	49771	51826	+	430.3	467	https://www.orthodb.org/v10?query=65334at4751	WD40-repeat-containing domain
65499at4751	Complete	contig_43278	38534	40612	-	513.7	474	https://www.orthodb.org/v10?query=65499at4751	AP-1 complex subunit gamma
66151at4751	Complete	contig_24160	2526	5360	-	369.4	460	https://www.orthodb.org/v10?query=66151at4751	Tetratricopeptide repeat
67284at4751	Missing
67399at4751	Complete	contig_16949	44762	47675	-	561.3	480	https://www.orthodb.org/v10?query=67399at4751	Glutamine-dependent NAD(+) synthetase
67806at4751	Complete	contig_25882	53313	55832	+	220.2	370	https://www.orthodb.org/v10?query=67806at4751	actin-like ATPase domain-containing protein
68466at4751	Complete	contig_45626	4291	6463	+	846.2	606	https://www.orthodb.org/v10?query=68466at4751	FACT complex subunit SPT16
68881at4751	Missing
71039at4751	Complete	contig_27429	26166	29630	+	956.9	714	https://www.orthodb.org/v10?query=71039at4751	RNA cytidine acetyltransferase
71046at4751	Fragmented	contig_5107	102670	104996	+	540.8	493	https://www.orthodb.org/v10?query=71046at4751	Vacuolar protein sorting-associated protein 35
73383at4751	Complete	contig_47767	9281	11388	-	639.2	482	https://www.orthodb.org/v10?query=73383at4751	DNA topoisomerase I
73477at4751	Fragmented	contig_13602	3771	5050	-	371.2	283	https://www.orthodb.org/v10?query=73477at4751	Vacuolar protein 8
73771at4751	Complete	contig_65102	85023	87752	-	663.5	579	https://www.orthodb.org/v10?query=73771at4751	WD40-repeat-containing domain
75033at4751	Complete	contig_63608	33721	35227	-	319.4	377	https://www.orthodb.org/v10?query=75033at4751	RNA polymerase I-specific transcription initiation factor RRN3
75456at4751	Fragmented	contig_12502	30360	31867	+	58.5	218	https://www.orthodb.org/v10?query=75456at4751	Vps53-like, N-terminal
75463at4751	Complete	contig_22089	12506	14977	+	612.6	577	https://www.orthodb.org/v10?query=75463at4751	Mitochondrial intermediate peptidase
75709at4751	Complete	contig_39504	6791	10823	+	835.2	740	https://www.orthodb.org/v10?query=75709at4751	Lysophospholipase NTE1
75976at4751	Missing
76196at4751	Duplicated	contig_41416	4113	6000	+	464.8	304	https://www.orthodb.org/v10?query=76196at4751	Histidine biosynthesis trifunctional protein
76196at4751	Duplicated	contig_53566	758671	759903	+	411.5	345	https://www.orthodb.org/v10?query=76196at4751	Histidine biosynthesis trifunctional protein
76893at4751	Complete	contig_49439	4892	6802	-	797.6	506	https://www.orthodb.org/v10?query=76893at4751	ATPase, AAA-type, conserved site
76975at4751	Fragmented	contig_16830	123345	124858	+	117.6	188	https://www.orthodb.org/v10?query=76975at4751	Exocyst complex component Sec5
78289at4751	Complete	contig_211	13926	16029	+	561.5	500	https://www.orthodb.org/v10?query=78289at4751	Fimbrin
78665at4751	Complete	contig_39898	3655	5626	-	310.9	422	https://www.orthodb.org/v10?query=78665at4751	Spindle pole body component
79262at4751	Complete	contig_14005	115555	117357	+	743.3	472	https://www.orthodb.org/v10?query=79262at4751	Electron transfer flavoprotein-ubiquinone oxidoreductase
79294at4751	Complete	contig_33575	38390	40481	+	613.5	424	https://www.orthodb.org/v10?query=79294at4751	Bifunctional purine biosynthesis protein ADE17
79797at4751	Complete	contig_18429	83480	86017	-	427.7	584	https://www.orthodb.org/v10?query=79797at4751	WD40-repeat-containing domain
79988at4751	Missing
81295at4751	Complete	contig_52345	14089	16354	-	770.7	441	https://www.orthodb.org/v10?query=81295at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
81614at4751	Missing
81687at4751	Complete	contig_21316	2326	4107	-	738.7	474	https://www.orthodb.org/v10?query=81687at4751	asparagine synthase (glutamine-hydrolyzing)
84250at4751	Fragmented	contig_37250	81985	83119	-	82.0	205	https://www.orthodb.org/v10?query=84250at4751	TRAPP II complex, TRAPPC10
84829at4751	Complete	contig_45250	6280	7995	+	221.6	192	https://www.orthodb.org/v10?query=84829at4751	DUF747-domain-containing protein
85793at4751	Missing
86293at4751	Duplicated	contig_54132	179714	181081	-	124.5	311	https://www.orthodb.org/v10?query=86293at4751	Aldehyde dehydrogenase, glutamic acid active site
86293at4751	Duplicated	contig_39014	1753456	1754799	+	121.3	310	https://www.orthodb.org/v10?query=86293at4751	Aldehyde dehydrogenase, glutamic acid active site
86293at4751	Duplicated	contig_59568	67684	69096	-	118.3	332	https://www.orthodb.org/v10?query=86293at4751	Aldehyde dehydrogenase, glutamic acid active site
86293at4751	Duplicated	contig_56027	194486	195853	+	108.9	280	https://www.orthodb.org/v10?query=86293at4751	Aldehyde dehydrogenase, glutamic acid active site
86293at4751	Duplicated	contig_54034	509723	511057	+	108.1	316	https://www.orthodb.org/v10?query=86293at4751	Aldehyde dehydrogenase, glutamic acid active site
87251at4751	Fragmented	contig_24310	109274	111279	+	494.9	511	https://www.orthodb.org/v10?query=87251at4751	Ribosomal RNA-processing protein 12
87313at4751	Complete	contig_17744	31285	33005	+	853.8	441	https://www.orthodb.org/v10?query=87313at4751	Elongator complex protein 3
90022at4751	Complete	contig_41134	9249	11368	-	133.4	168	https://www.orthodb.org/v10?query=90022at4751	nucleotide-diphospho-sugar transferase
91135at4751	Complete	contig_40744	8984	10456	-	177.6	305	https://www.orthodb.org/v10?query=91135at4751	Far11/STRP, C-terminal
92267at4751	Complete	contig_31608	128658	130991	-	604.5	511	https://www.orthodb.org/v10?query=92267at4751	Phenylalanyl-tRNA synthetase
93783at4751	Complete	contig_54845	54448	56437	-	255.8	333	https://www.orthodb.org/v10?query=93783at4751	ER membrane protein complex subunit 1
94384at4751	Complete	contig_63452	46030	48038	-	373.9	394	https://www.orthodb.org/v10?query=94384at4751	DNA topoisomerase
94628at4751	Complete	contig_28389	4073	6519	+	792.3	516	https://www.orthodb.org/v10?query=94628at4751	DNA helicase
95253at4751	Missing
96633at4751	Complete	contig_19612	8212	11351	+	419.9	606	https://www.orthodb.org/v10?query=96633at4751	Cleavage and polyadenylation specificity factor subunit 2
97141at4751	Missing
98519at4751	Missing
98733at4751	Complete	contig_65137	2736	5098	-	815.8	483	https://www.orthodb.org/v10?query=98733at4751	threonyl-tRNA synthetase
98739at4751	Complete	contig_34480	48680	50936	+	518.3	423	https://www.orthodb.org/v10?query=98739at4751	Homoaconitase, mitochondrial
100957at4751	Missing
101133at4751	Complete	contig_18120	37520	39228	-	458.2	403	https://www.orthodb.org/v10?query=101133at4751	Phosphoribosylaminoimidazole carboxylase
103183at4751	Complete	contig_14688	63029	65370	+	523.5	500	https://www.orthodb.org/v10?query=103183at4751	DNA repair protein
103461at4751	Complete	contig_40381	3800	6097	-	761.4	543	https://www.orthodb.org/v10?query=103461at4751	P-loop containing nucleoside triphosphate hydrolase protein
103836at4751	Complete	contig_54018	2925	4217	-	279.8	302	https://www.orthodb.org/v10?query=103836at4751	WD40-repeat-containing domain
104173at4751	Fragmented	contig_43533	26560	27835	+	236.0	277	https://www.orthodb.org/v10?query=104173at4751	Noc2-domain-containing protein
104415at4751	Missing
105401at4751	Complete	contig_4543	154286	156026	-	1004.2	556	https://www.orthodb.org/v10?query=105401at4751	GroEL-like apical domain superfamily
106281at4751	Complete	contig_4327	17440	22854	-	511.9	926	https://www.orthodb.org/v10?query=106281at4751	endosomal peripheral membrane protein
107136at4751	Complete	contig_62447	24265	27002	-	694.9	558	https://www.orthodb.org/v10?query=107136at4751	glycoside hydrolase family 31 protein
107464at4751	Duplicated	contig_55521	35893	37497	-	581.6	405	https://www.orthodb.org/v10?query=107464at4751	Glucose-6-phosphate isomerase
107464at4751	Duplicated	contig_57219	7470	9084	+	566.3	407	https://www.orthodb.org/v10?query=107464at4751	Glucose-6-phosphate isomerase
107464at4751	Duplicated	contig_53570	1794046	1795641	-	538.7	408	https://www.orthodb.org/v10?query=107464at4751	Glucose-6-phosphate isomerase
109276at4751	Complete	contig_4308	3218	5661	-	319.9	393	https://www.orthodb.org/v10?query=109276at4751	CCAAT-box-binding transcription factor
111022at4751	Complete	contig_12533	71408	72754	+	167.4	228	https://www.orthodb.org/v10?query=111022at4751	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
111189at4751	Complete	contig_38759	27876	30187	+	624.3	508	https://www.orthodb.org/v10?query=111189at4751	ATP-dependent RNA helicase DBP10
112646at4751	Fragmented	contig_33776	99922	101116	-	50.3	185	https://www.orthodb.org/v10?query=112646at4751	oligomeric Golgi complex subunit 6
112937at4751	Missing
115993at4751	Complete	contig_43900	14533	16736	+	542.4	479	https://www.orthodb.org/v10?query=115993at4751	Ribosome biogenesis protein ERB1
117017at4751	Complete	contig_53566	160384	162000	-	354.8	441	https://www.orthodb.org/v10?query=117017at4751	Methionyl-tRNA synthetase
118189at4751	Missing
118701at4751	Complete	contig_8077	150859	153441	+	648.8	612	https://www.orthodb.org/v10?query=118701at4751	Phosphatidylinositol 3-kinase VPS34
119833at4751	Fragmented	contig_32077	58132	59027	-	291.8	283	https://www.orthodb.org/v10?query=119833at4751	Histone-lysine N-methyltransferase
122507at4751	Complete	contig_35153	24202	25983	+	334.9	426	https://www.orthodb.org/v10?query=122507at4751	WD40-repeat-containing domain
122824at4751	Missing
123228at4751	Complete	contig_55540	59435	62603	-	770.0	628	https://www.orthodb.org/v10?query=123228at4751	Ribosome biogenesis protein BMS1
123277at4751	Missing
123494at4751	Complete	contig_33211	31352	32784	-	280.5	296	https://www.orthodb.org/v10?query=123494at4751	Actin family
125400at4751	Missing
125935at4751	Complete	contig_37969	94761	95877	+	430.6	321	https://www.orthodb.org/v10?query=125935at4751	tRNA-dihydrouridine(47) synthase 
126037at4751	Missing
126249at4751	Complete	contig_15724	7262	9455	-	492.7	436	https://www.orthodb.org/v10?query=126249at4751	Multiple RNA-binding domain-containing protein 1
126256at4751	Complete	contig_47507	1878	3758	+	440.3	321	https://www.orthodb.org/v10?query=126256at4751	Non-specific serine/threonine protein kinase
126519at4751	Complete	contig_29314	55133	57029	+	540.7	425	https://www.orthodb.org/v10?query=126519at4751	Imidazole glycerol phosphate synthase hisHF
127140at4751	Fragmented	contig_64509	3419	5009	-	321.2	309	https://www.orthodb.org/v10?query=127140at4751	Protein arginine N-methyltransferase
129160at4751	Complete	contig_18895	21486	23511	+	660.8	441	https://www.orthodb.org/v10?query=129160at4751	T-complex protein 1 subunit zeta
129326at4751	Complete	contig_30721	69420	72460	+	430.5	612	https://www.orthodb.org/v10?query=129326at4751	Putative nucleolar complex protein 14
129520at4751	Complete	contig_38663	2356	4270	-	527.2	409	https://www.orthodb.org/v10?query=129520at4751	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
130062at4751	Missing
130930at4751	Fragmented	contig_7122	34363	35081	-	66.5	183	https://www.orthodb.org/v10?query=130930at4751	Nucleoporin Nup186/Nup192/Nup205
130976at4751	Complete	contig_48178	3003	4313	-	208.1	352	https://www.orthodb.org/v10?query=130976at4751	DNA polymerase alpha subunit B
133954at4751	Missing
135184at4751	Complete	contig_1200	76768	78691	+	190.7	210	https://www.orthodb.org/v10?query=135184at4751	Nitrogen permease regulator 2
135652at4751	Complete	contig_19766	47572	49337	-	382.1	361	https://www.orthodb.org/v10?query=135652at4751	Poly(A) polymerase
137963at4751	Duplicated	contig_24771	79796	82200	+	717.4	427	https://www.orthodb.org/v10?query=137963at4751	Prolyl-tRNA synthetase
137963at4751	Duplicated	contig_13468	5373	7083	-	632.2	424	https://www.orthodb.org/v10?query=137963at4751	Prolyl-tRNA synthetase
138484at4751	Fragmented	contig_22296	16243	17593	-	108.4	215	https://www.orthodb.org/v10?query=138484at4751	DNA polymerase epsilon subunit
138695at4751	Complete	contig_447	183785	185862	-	731.3	456	https://www.orthodb.org/v10?query=138695at4751	Nucleolar GTP-binding protein 1
138697at4751	Duplicated	contig_53820	33797	35176	+	425.4	385	https://www.orthodb.org/v10?query=138697at4751	Threonine synthase
138697at4751	Duplicated	contig_53848	39033	40445	-	425.0	382	https://www.orthodb.org/v10?query=138697at4751	Threonine synthase
138697at4751	Duplicated	contig_37385	25243	27172	-	409.9	368	https://www.orthodb.org/v10?query=138697at4751	Threonine synthase
138833at4751	Complete	contig_43150	6739	8812	+	582.0	446	https://www.orthodb.org/v10?query=138833at4751	Protein phosphatase PP2A regulatory subunit A
141273at4751	Complete	contig_54443	45852	47432	-	214.3	275	https://www.orthodb.org/v10?query=141273at4751	methionine-tRNA ligase
142357at4751	Complete	contig_14805	6625	9145	-	482.6	467	https://www.orthodb.org/v10?query=142357at4751	Ribosomal protein S5 domain 2-type fold
142965at4751	Complete	contig_47475	4358	5779	-	165.9	225	https://www.orthodb.org/v10?query=142965at4751	GPI transamidase component GPI16
143414at4751	Missing
145178at4751	Missing
145378at4751	Missing
145524at4751	Fragmented	contig_14204	231536	232172	-	290.4	176	https://www.orthodb.org/v10?query=145524at4751	Nuclear elongation and deformation protein 1
147028at4751	Complete	contig_16320	3296	4405	-	260.1	255	https://www.orthodb.org/v10?query=147028at4751	WD40-repeat-containing domain
148293at4751	Missing
150469at4751	Complete	contig_51803	13404	15403	+	505.6	368	https://www.orthodb.org/v10?query=150469at4751	T-complex protein 1 subunit beta
153083at4751	Complete	contig_7178	61414	63249	+	506.0	507	https://www.orthodb.org/v10?query=153083at4751	Ubiquitin carboxyl-terminal hydrolase
154126at4751	Missing
156073at4751	Fragmented	contig_44760	4620	5878	-	97.7	116	https://www.orthodb.org/v10?query=156073at4751	Zinc finger, RING-type
160044at4751	Complete	contig_6883	40272	41780	-	376.4	352	https://www.orthodb.org/v10?query=160044at4751	Sodium/hydrogen exchanger
